system:time_start,0
Nov 6, 2024,0.437
Nov 11, 2024,0.446
Nov 18, 2024,0.427
Nov 28, 2024,0.449
Dec 3, 2024,0.421
Dec 6, 2024,0.383
Dec 8, 2024,0.427
Dec 16, 2024,0.426
Dec 21, 2024,0.413
Dec 23, 2024,0.407
Dec 26, 2024,0.394
Dec 28, 2024,0.397
Dec 31, 2024,0.385
Jan 12, 2025,0.404
Jan 15, 2025,0.388
Jan 17, 2025,0.37
Jan 30, 2025,0.416
Feb 1, 2025,0.394
Feb 4, 2025,0.383
Feb 6, 2025,0.392
Feb 16, 2025,0.371
Mar 28, 2025,0.387
Mar 30, 2025,0.382
Mar 31, 2025,0.387
Apr 7, 2025,0.402
Apr 17, 2025,0.432
Apr 25, 2025,0.421
Apr 27, 2025,0.433
May 25, 2025,0.399
May 27, 2025,0.401
May 29, 2025,0.386
May 30, 2025,0.379
Jun 6, 2025,0.37
Jun 8, 2025,0.365
Jun 9, 2025,0.342
Jun 14, 2025,0.377
Jun 16, 2025,0.364
Jun 18, 2025,0.372
Jun 21, 2025,0.361
Jun 21, 2025,0.349
Jun 26, 2025,0.383
Jun 28, 2025,0.375
Jun 29, 2025,0.367
Jul 1, 2025,0.362
Jul 4, 2025,0.374
Jul 6, 2025,0.374
Jul 8, 2025,0.361
Jul 9, 2025,0.363
Jul 11, 2025,0.373
Jul 11, 2025,0.374
Jul 14, 2025,0.381
Jul 16, 2025,0.366
Jul 18, 2025,0.377
Jul 19, 2025,0.368
Jul 21, 2025,0.377
Jul 21, 2025,0.377
Jul 24, 2025,0.377
Jul 26, 2025,0.375
Jul 28, 2025,0.369
Jul 29, 2025,0.381
Jul 31, 2025,0.368
Jul 31, 2025,0.362
Aug 3, 2025,0.363
Aug 5, 2025,0.358
Aug 7, 2025,0.365
Aug 8, 2025,0.348
Aug 10, 2025,0.359
Aug 10, 2025,0.355
Aug 13, 2025,0.376
Aug 15, 2025,0.313
Aug 20, 2025,0.39
Aug 20, 2025,0.107
Aug 23, 2025,0.359
Aug 27, 2025,0.303
Aug 28, 2025,0.388
Aug 30, 2025,0.384
Aug 30, 2025,0.381
Sep 4, 2025,0.398
Sep 9, 2025,0.379
Sep 9, 2025,0.334
Sep 12, 2025,0.389
Sep 14, 2025,0.393
Sep 16, 2025,0.388
Sep 17, 2025,0.385
Sep 22, 2025,0.414
Sep 24, 2025,0.41
